PassengerId,Survived,Pclass,Sex,Age,AgeGroup,Fare,Embarked,FamilySize,IsAlone,Title,CabinKnown,TicketGroupSize,FarePerPerson
51,0,3,male,7.0,Child,39.6875,S,6,0,Master,0,7,5.669642857142857
52,0,3,male,21.0,Young Adult,7.8,S,1,1,Mr,0,1,7.8
53,1,1,female,49.0,Adult,76.7292,C,2,0,Mrs,1,3,25.576400000000003
54,1,2,female,29.0,Young Adult,26.0,S,2,0,Mrs,0,2,13.0
55,0,1,male,65.0,Senior,61.9792,C,2,0,Mr,1,2,30.9896
56,1,1,male,45.0,Adult,35.5,S,1,1,Mr,1,1,35.5
57,1,2,female,21.0,Young Adult,10.5,S,1,1,Miss,0,1,10.5
58,0,3,male,28.5,Young Adult,7.2292,C,1,1,Mr,0,1,7.2292
59,1,2,female,5.0,Child,27.75,S,4,0,Miss,0,4,6.9375
60,0,3,male,11.0,Child,46.9,S,8,0,Master,0,8,5.8625
61,0,3,male,22.0,Young Adult,7.2292,C,1,1,Mr,0,1,7.2292
62,1,1,female,38.0,Adult,80.0,S,1,1,Miss,1,2,40.0
63,0,1,male,45.0,Adult,83.475,S,2,0,Mr,1,2,41.7375
64,0,3,male,4.0,Child,27.9,S,6,0,Master,0,6,4.6499999999999995
65,0,1,male,70.0,Senior,27.7208,C,1,1,Mr,0,1,27.7208
66,1,3,male,25.0,Young Adult,15.2458,C,3,0,Master,0,3,5.081933333333333
67,1,2,female,29.0,Young Adult,10.5,S,1,1,Mrs,1,1,10.5
68,0,3,male,19.0,Young Adult,8.1583,S,1,1,Mr,0,1,8.1583
69,1,3,female,17.0,Teen,7.925,S,7,0,Miss,0,1,7.925
70,0,3,male,26.0,Young Adult,8.6625,S,3,0,Mr,0,1,8.6625
71,0,2,male,32.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
72,0,3,female,16.0,Teen,46.9,S,8,0,Miss,0,8,5.8625
73,0,2,male,21.0,Young Adult,73.5,S,1,1,Mr,0,7,10.5
74,0,3,male,26.0,Young Adult,14.4542,C,2,0,Mr,0,2,7.2271
75,1,3,male,32.0,Young Adult,56.4958,S,1,1,Mr,0,8,7.061975
76,0,3,male,25.0,Young Adult,7.65,S,1,1,Mr,1,1,7.65
77,0,3,male,18.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
78,0,3,male,1.0,Child,8.05,S,1,1,Mr,0,1,8.05
79,1,2,male,0.83,Child,29.0,S,3,0,Master,0,3,9.666666666666666
80,1,3,female,30.0,Young Adult,12.475,S,1,1,Miss,0,2,6.2375
81,0,3,male,22.0,Young Adult,9.0,S,1,1,Mr,0,1,9.0
82,1,3,male,29.0,Young Adult,9.5,S,1,1,Mr,0,1,9.5
83,1,3,female,33.0,Young Adult,7.7875,Q,1,1,Miss,0,1,7.7875
84,0,1,male,28.0,Young Adult,47.1,S,1,1,Mr,0,2,23.55
85,1,2,female,17.0,Teen,10.5,S,1,1,Miss,0,1,10.5
86,1,3,female,33.0,Young Adult,15.85,S,4,0,Mrs,0,2,7.925
87,0,3,male,16.0,Teen,34.375,S,5,0,Mr,0,5,6.875
88,0,3,male,23.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
89,1,1,female,23.0,Young Adult,263.0,S,6,0,Miss,1,6,43.833333333333336
90,0,3,male,24.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
91,0,3,male,29.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
92,0,3,male,20.0,Young Adult,7.8542,S,1,1,Mr,0,1,7.8542
93,0,1,male,46.0,Adult,61.175,S,2,0,Mr,1,2,30.5875
94,0,3,male,26.0,Young Adult,20.575,S,4,0,Mr,0,4,5.14375
95,0,3,male,59.0,Adult,7.25,S,1,1,Mr,0,1,7.25
96,0,3,male,26.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
97,0,1,male,71.0,Senior,34.6542,C,1,1,Mr,1,1,34.6542
98,1,1,male,23.0,Young Adult,63.3583,C,2,0,Mr,1,2,31.67915
99,1,2,female,34.0,Young Adult,23.0,S,2,0,Mrs,0,2,11.5
100,0,2,male,34.0,Young Adult,26.0,S,2,0,Mr,0,2,13.0
101,0,3,female,28.0,Young Adult,7.8958,S,1,1,Miss,0,1,7.8958
102,0,3,male,22.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
103,0,1,male,21.0,Young Adult,77.2875,S,2,0,Mr,1,2,38.64375
104,0,3,male,33.0,Young Adult,8.6542,S,1,1,Mr,0,1,8.6542
105,0,3,male,37.0,Adult,7.925,S,3,0,Mr,0,1,7.925
106,0,3,male,28.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
107,1,3,female,21.0,Young Adult,7.65,S,1,1,Miss,0,1,7.65
108,1,3,male,29.0,Young Adult,7.775,S,1,1,Mr,0,1,7.775
109,0,3,male,38.0,Adult,7.8958,S,1,1,Mr,0,1,7.8958
110,1,3,female,11.0,Child,24.15,Q,2,0,Miss,0,3,8.049999999999999
111,0,1,male,47.0,Adult,52.0,S,1,1,Mr,1,2,26.0
112,0,3,female,14.5,Teen,14.4542,C,2,0,Miss,0,2,7.2271
113,0,3,male,22.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
114,0,3,female,20.0,Young Adult,9.825,S,2,0,Miss,0,1,9.825
115,0,3,female,17.0,Teen,14.4583,C,1,1,Miss,0,2,7.22915
116,0,3,male,21.0,Young Adult,7.925,S,1,1,Mr,0,1,7.925
117,0,3,male,70.5,Senior,7.75,Q,1,1,Mr,0,1,7.75
118,0,2,male,29.0,Young Adult,21.0,S,2,0,Mr,0,2,10.5
119,0,1,male,24.0,Young Adult,247.5208,C,2,0,Mr,1,3,82.50693333333334
120,0,3,female,2.0,Child,31.275,S,7,0,Miss,0,7,4.4678571428571425
121,0,2,male,21.0,Young Adult,73.5,S,3,0,Mr,0,7,10.5
122,0,3,male,18.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
123,0,2,male,32.5,Young Adult,30.0708,C,2,0,Mr,0,2,15.0354
124,1,2,female,32.5,Young Adult,13.0,S,1,1,Miss,1,1,13.0
125,0,1,male,54.0,Adult,77.2875,S,2,0,Mr,1,2,38.64375
126,1,3,male,12.0,Child,11.2417,C,2,0,Master,0,2,5.62085
127,0,3,male,18.0,Young Adult,7.75,Q,1,1,Mr,0,1,7.75
128,1,3,male,24.0,Young Adult,7.1417,S,1,1,Mr,0,1,7.1417
129,1,3,female,22.0,Young Adult,22.3583,C,3,0,Miss,1,3,7.452766666666666
130,0,3,male,45.0,Adult,6.975,S,1,1,Mr,0,1,6.975
131,0,3,male,33.0,Young Adult,7.8958,C,1,1,Mr,0,1,7.8958
132,0,3,male,20.0,Young Adult,7.05,S,1,1,Mr,0,1,7.05
133,0,3,female,47.0,Adult,14.5,S,2,0,Mrs,0,2,7.25
134,1,2,female,29.0,Young Adult,26.0,S,2,0,Mrs,0,2,13.0
135,0,2,male,25.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
136,0,2,male,23.0,Young Adult,15.0458,C,1,1,Mr,0,1,15.0458
137,1,1,female,19.0,Young Adult,26.2833,S,3,0,Miss,1,1,26.2833
138,0,1,male,37.0,Adult,53.1,S,2,0,Mr,1,2,26.55
139,0,3,male,16.0,Teen,9.2167,S,1,1,Mr,0,2,4.60835
140,0,1,male,24.0,Young Adult,79.2,C,1,1,Mr,1,2,39.6
141,0,3,female,19.0,Young Adult,15.2458,C,3,0,Mrs,0,3,5.081933333333333
142,1,3,female,22.0,Young Adult,7.75,S,1,1,Miss,0,1,7.75
143,1,3,female,24.0,Young Adult,15.85,S,2,0,Mrs,0,2,7.925
144,0,3,male,19.0,Young Adult,6.75,Q,1,1,Mr,0,1,6.75
145,0,2,male,18.0,Young Adult,11.5,S,1,1,Mr,0,1,11.5
146,0,2,male,19.0,Young Adult,36.75,S,3,0,Mr,0,4,9.1875
147,1,3,male,27.0,Young Adult,7.7958,S,1,1,Mr,0,1,7.7958
148,0,3,female,9.0,Child,34.375,S,5,0,Miss,0,5,6.875
149,0,2,male,36.5,Adult,26.0,S,3,0,Mr,1,3,8.666666666666666
150,0,2,male,42.0,Adult,13.0,S,1,1,Rare,0,1,13.0
151,0,2,male,51.0,Adult,12.525,S,1,1,Rare,0,1,12.525
152,1,1,female,22.0,Young Adult,66.6,S,2,0,Mrs,1,2,33.3
153,0,3,male,55.5,Adult,8.05,S,1,1,Mr,0,1,8.05
154,0,3,male,40.5,Adult,14.5,S,3,0,Mr,0,3,4.833333333333333
155,0,3,male,45.0,Adult,7.3125,S,1,1,Mr,0,1,7.3125
156,0,1,male,51.0,Adult,61.3792,C,2,0,Mr,0,2,30.6896
157,1,3,female,16.0,Teen,7.7333,Q,1,1,Miss,0,1,7.7333
158,0,3,male,30.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
159,0,3,male,48.0,Adult,8.6625,S,1,1,Mr,0,1,8.6625
160,0,3,male,30.0,Young Adult,69.55,S,11,0,Master,0,11,6.322727272727272
161,0,3,male,44.0,Adult,16.1,S,2,0,Mr,0,2,8.05
162,1,2,female,40.0,Adult,15.75,S,1,1,Mrs,0,2,7.875
163,0,3,male,26.0,Young Adult,7.775,S,1,1,Mr,0,1,7.775
164,0,3,male,17.0,Teen,8.6625,S,1,1,Mr,0,1,8.6625
165,0,3,male,1.0,Child,39.6875,S,6,0,Master,0,7,5.669642857142857
166,1,3,male,9.0,Child,20.525,S,3,0,Master,0,3,6.841666666666666
167,1,1,female,39.0,Adult,55.0,S,2,0,Mrs,1,2,27.5
168,0,3,female,45.0,Adult,27.9,S,6,0,Mrs,0,6,4.6499999999999995
169,0,1,male,28.0,Young Adult,25.925,S,1,1,Mr,0,1,25.925
170,0,3,male,28.0,Young Adult,56.4958,S,1,1,Mr,0,8,7.061975
171,0,1,male,61.0,Senior,33.5,S,1,1,Mr,1,1,33.5
172,0,3,male,4.0,Child,29.125,Q,6,0,Master,0,6,4.854166666666667
173,1,3,female,1.0,Child,11.1333,S,3,0,Miss,0,3,3.7111
174,0,3,male,21.0,Young Adult,7.925,S,1,1,Mr,0,1,7.925
175,0,1,male,56.0,Adult,30.6958,C,1,1,Mr,1,1,30.6958
176,0,3,male,18.0,Young Adult,7.8542,S,3,0,Mr,0,1,7.8542
177,0,3,male,1.0,Child,25.4667,S,5,0,Master,0,5,5.0933399999999995
178,0,1,female,50.0,Adult,28.7125,C,1,1,Miss,1,1,28.7125
179,0,2,male,30.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
180,0,3,male,36.0,Adult,0.0,S,1,1,Mr,0,4,0.0
181,0,3,female,25.0,Young Adult,69.55,S,11,0,Miss,0,11,6.322727272727272
182,0,2,male,54.0,Adult,15.05,C,1,1,Mr,0,1,15.05
183,0,3,male,9.0,Child,31.3875,S,7,0,Master,0,7,4.483928571428572
184,1,2,male,1.0,Child,39.0,S,4,0,Master,1,4,9.75
185,1,3,female,4.0,Child,22.025,S,3,0,Miss,0,3,7.341666666666666
186,0,1,male,50.0,Adult,50.0,S,1,1,Mr,1,1,50.0
187,1,3,female,27.0,Young Adult,15.5,Q,2,0,Mrs,0,2,7.75
188,1,1,male,45.0,Adult,26.55,S,1,1,Mr,0,1,26.55
189,0,3,male,40.0,Adult,15.5,Q,3,0,Mr,0,2,7.75
190,0,3,male,36.0,Adult,7.8958,S,1,1,Mr,0,1,7.8958
191,1,2,female,32.0,Young Adult,13.0,S,1,1,Mrs,0,1,13.0
192,0,2,male,19.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
193,1,3,female,19.0,Young Adult,7.8542,S,2,0,Miss,0,1,7.8542
194,1,2,male,3.0,Child,26.0,S,3,0,Master,1,3,8.666666666666666
195,1,1,female,44.0,Adult,27.7208,C,1,1,Mrs,1,1,27.7208
196,1,1,female,58.0,Adult,146.5208,C,1,1,Miss,1,3,48.84026666666667
197,0,3,male,17.0,Teen,7.75,Q,1,1,Mr,0,1,7.75
198,0,3,male,42.0,Adult,8.4042,S,2,0,Mr,0,1,8.4042
199,1,3,female,29.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
200,0,2,female,24.0,Young Adult,13.0,S,1,1,Miss,0,1,13.0
201,0,3,male,28.0,Young Adult,9.5,S,1,1,Mr,0,1,9.5
202,0,3,male,29.0,Young Adult,69.55,S,11,0,Mr,0,11,6.322727272727272
203,0,3,male,34.0,Young Adult,6.4958,S,1,1,Mr,0,1,6.4958
204,0,3,male,45.5,Adult,7.225,C,1,1,Mr,0,1,7.225
205,1,3,male,18.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
206,0,3,female,2.0,Child,10.4625,S,2,0,Miss,1,2,5.23125
207,0,3,male,32.0,Young Adult,15.85,S,2,0,Mr,0,2,7.925
208,1,3,male,26.0,Young Adult,18.7875,C,1,1,Mr,0,2,9.39375
209,1,3,female,16.0,Teen,7.75,Q,1,1,Miss,0,1,7.75
210,1,1,male,40.0,Adult,31.0,C,1,1,Mr,1,1,31.0
211,0,3,male,24.0,Young Adult,7.05,S,1,1,Mr,0,1,7.05
212,1,2,female,35.0,Adult,21.0,S,1,1,Miss,0,2,10.5
213,0,3,male,22.0,Young Adult,7.25,S,1,1,Mr,0,1,7.25
214,0,2,male,30.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
215,0,3,male,24.0,Young Adult,7.75,Q,2,0,Mr,0,1,7.75
216,1,1,female,31.0,Young Adult,113.275,C,2,0,Miss,1,3,37.75833333333333
217,1,3,female,27.0,Young Adult,7.925,S,1,1,Miss,0,1,7.925
218,0,2,male,42.0,Adult,27.0,S,2,0,Mr,0,2,13.5
219,1,1,female,32.0,Young Adult,76.2917,C,1,1,Miss,1,2,38.14585
220,0,2,male,30.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
221,1,3,male,16.0,Teen,8.05,S,1,1,Mr,0,1,8.05
222,0,2,male,27.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
223,0,3,male,51.0,Adult,8.05,S,1,1,Mr,0,1,8.05
224,0,3,male,22.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
225,1,1,male,38.0,Adult,90.0,S,2,0,Mr,1,2,45.0
226,0,3,male,22.0,Young Adult,9.35,S,1,1,Mr,0,1,9.35
227,1,2,male,19.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
228,0,3,male,20.5,Young Adult,7.25,S,1,1,Mr,0,1,7.25
229,0,2,male,18.0,Young Adult,13.0,S,1,1,Mr,0,1,13.0
230,0,3,female,25.0,Young Adult,25.4667,S,5,0,Miss,0,5,5.0933399999999995
231,1,1,female,35.0,Adult,83.475,S,2,0,Mrs,1,2,41.7375
232,0,3,male,29.0,Young Adult,7.775,S,1,1,Mr,0,1,7.775
233,0,2,male,59.0,Adult,13.5,S,1,1,Mr,0,1,13.5
234,1,3,female,5.0,Child,31.3875,S,7,0,Miss,0,7,4.483928571428572
235,0,2,male,24.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
236,0,3,female,2.0,Child,7.55,S,1,1,Miss,0,1,7.55
237,0,2,male,44.0,Adult,26.0,S,2,0,Mr,0,2,13.0
238,1,2,female,8.0,Child,26.25,S,3,0,Miss,0,3,8.75
239,0,2,male,19.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
240,0,2,male,33.0,Young Adult,12.275,S,1,1,Mr,0,1,12.275
241,0,3,female,22.0,Young Adult,14.4542,C,2,0,Miss,0,2,7.2271
242,1,3,female,20.0,Young Adult,15.5,Q,2,0,Miss,0,2,7.75
243,0,2,male,29.0,Young Adult,10.5,S,1,1,Mr,0,1,10.5
244,0,3,male,22.0,Young Adult,7.125,S,1,1,Mr,0,1,7.125
245,0,3,male,30.0,Young Adult,7.225,C,1,1,Mr,0,1,7.225
246,0,1,male,44.0,Adult,90.0,Q,3,0,Rare,1,3,30.0
247,0,3,female,25.0,Young Adult,7.775,S,1,1,Miss,0,1,7.775
248,1,2,female,24.0,Young Adult,14.5,S,3,0,Mrs,0,2,7.25
249,1,1,male,37.0,Adult,52.5542,S,3,0,Mr,1,2,26.2771
250,0,2,male,54.0,Adult,26.0,S,2,0,Rare,0,2,13.0
251,0,3,male,39.0,Adult,7.25,S,1,1,Mr,0,1,7.25
252,0,3,female,29.0,Young Adult,10.4625,S,3,0,Mrs,1,2,5.23125
253,0,1,male,62.0,Senior,26.55,S,1,1,Mr,1,1,26.55
254,0,3,male,30.0,Young Adult,16.1,S,2,0,Mr,0,2,8.05
255,0,3,female,41.0,Adult,20.2125,S,3,0,Mrs,0,3,6.7375
256,1,3,female,29.0,Young Adult,15.2458,C,3,0,Mrs,0,3,5.081933333333333
257,1,1,female,16.0,Teen,79.2,C,1,1,Mrs,0,2,39.6
258,1,1,female,30.0,Young Adult,86.5,S,1,1,Miss,1,3,28.833333333333332
259,1,1,female,35.0,Adult,512.3292,C,1,1,Miss,0,4,128.0823
260,1,2,female,50.0,Adult,26.0,S,2,0,Mrs,0,2,13.0
261,0,3,male,30.5,Young Adult,7.75,Q,1,1,Mr,0,1,7.75
262,1,3,male,3.0,Child,31.3875,S,7,0,Master,0,7,4.483928571428572
263,0,1,male,52.0,Adult,79.65,S,3,0,Mr,1,3,26.55
264,0,1,male,40.0,Adult,0.0,S,1,1,Mr,1,1,0.0
265,0,3,female,27.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
266,0,2,male,36.0,Adult,10.5,S,1,1,Mr,0,1,10.5
267,0,3,male,16.0,Teen,39.6875,S,6,0,Mr,0,7,5.669642857142857
268,1,3,male,25.0,Young Adult,7.775,S,2,0,Mr,0,1,7.775
269,1,1,female,58.0,Adult,153.4625,S,2,0,Mrs,1,3,51.15416666666667
270,1,1,female,35.0,Adult,135.6333,S,1,1,Miss,1,4,33.908325
271,0,1,male,56.0,Adult,31.0,S,1,1,Mr,0,2,15.5
272,1,3,male,25.0,Young Adult,0.0,S,1,1,Mr,0,4,0.0
273,1,2,female,41.0,Adult,19.5,S,2,0,Mrs,0,2,9.75
274,0,1,male,37.0,Adult,29.7,C,2,0,Mr,1,1,29.7
275,1,3,female,18.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
276,1,1,female,63.0,Senior,77.9583,S,2,0,Miss,1,3,25.986099999999997
277,0,3,female,45.0,Adult,7.75,S,1,1,Miss,0,1,7.75
278,0,2,male,28.0,Young Adult,0.0,S,1,1,Mr,0,3,0.0
279,0,3,male,7.0,Child,29.125,Q,6,0,Master,0,6,4.854166666666667
280,1,3,female,35.0,Adult,20.25,S,3,0,Mrs,0,3,6.75
281,0,3,male,65.0,Senior,7.75,Q,1,1,Mr,0,1,7.75
282,0,3,male,28.0,Young Adult,7.8542,S,1,1,Mr,0,1,7.8542
283,0,3,male,16.0,Teen,9.5,S,1,1,Mr,0,1,9.5
284,1,3,male,19.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
285,0,1,male,27.0,Young Adult,26.0,S,1,1,Mr,1,1,26.0
286,0,3,male,33.0,Young Adult,8.6625,C,1,1,Mr,0,1,8.6625
287,1,3,male,30.0,Young Adult,9.5,S,1,1,Mr,0,1,9.5
288,0,3,male,22.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
289,1,2,male,42.0,Adult,13.0,S,1,1,Mr,0,1,13.0
290,1,3,female,22.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
291,1,1,female,26.0,Young Adult,78.85,S,1,1,Miss,0,3,26.28333333333333
292,1,1,female,19.0,Young Adult,91.0792,C,2,0,Mrs,1,2,45.5396
293,0,2,male,36.0,Adult,12.875,C,1,1,Mr,1,1,12.875
294,0,3,female,24.0,Young Adult,8.85,S,1,1,Miss,0,1,8.85
295,0,3,male,24.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
296,0,1,male,0.92,Child,27.7208,C,1,1,Mr,0,1,27.7208
297,0,3,male,23.5,Young Adult,7.2292,C,1,1,Mr,0,1,7.2292
298,0,1,female,2.0,Child,151.55,S,4,0,Miss,1,6,25.258333333333336
299,1,1,male,46.0,Adult,30.5,S,1,1,Mr,1,1,30.5
300,1,1,female,50.0,Adult,247.5208,C,2,0,Mrs,1,3,82.50693333333334
301,1,3,female,18.0,Young Adult,7.75,Q,1,1,Miss,0,1,7.75
302,1,3,male,27.0,Young Adult,23.25,Q,3,0,Mr,0,3,7.75
303,0,3,male,19.0,Young Adult,0.0,S,1,1,Mr,0,4,0.0
304,1,2,female,17.0,Teen,12.35,Q,1,1,Miss,1,1,12.35
305,0,3,male,20.0,Young Adult,8.05,S,1,1,Mr,0,1,8.05
306,1,1,male,0.92,Child,151.55,S,4,0,Master,1,6,25.258333333333336
307,1,1,female,19.0,Young Adult,110.8833,C,1,1,Miss,0,4,27.720825
308,1,1,female,17.0,Teen,108.9,C,2,0,Mrs,1,3,36.300000000000004
309,0,2,male,30.0,Young Adult,24.0,C,2,0,Mr,0,2,12.0
310,1,1,female,30.0,Young Adult,56.9292,C,1,1,Miss,1,2,28.4646
311,1,1,female,24.0,Young Adult,83.1583,C,1,1,Miss,1,3,27.71943333333333
312,1,1,female,18.0,Young Adult,262.375,C,5,0,Miss,1,7,37.482142857142854
313,0,2,female,26.0,Young Adult,26.0,S,3,0,Mrs,0,2,13.0
314,0,3,male,28.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
315,0,2,male,43.0,Adult,26.25,S,3,0,Mr,0,3,8.75
316,1,3,female,26.0,Young Adult,7.8542,S,1,1,Miss,0,1,7.8542
317,1,2,female,24.0,Young Adult,26.0,S,2,0,Mrs,0,2,13.0
318,0,2,male,54.0,Adult,14.0,S,1,1,Rare,0,1,14.0
319,1,1,female,31.0,Young Adult,164.8667,S,3,0,Miss,1,4,41.216675
320,1,1,female,40.0,Adult,134.5,C,3,0,Mrs,1,5,26.9
321,0,3,male,22.0,Young Adult,7.25,S,1,1,Mr,0,1,7.25
322,0,3,male,27.0,Young Adult,7.8958,S,1,1,Mr,0,1,7.8958
323,1,2,female,30.0,Young Adult,12.35,Q,1,1,Miss,0,1,12.35
324,1,2,female,22.0,Young Adult,29.0,S,3,0,Mrs,0,3,9.666666666666666
325,0,3,male,19.0,Young Adult,69.55,S,11,0,Mr,0,11,6.322727272727272
326,1,1,female,36.0,Adult,135.6333,C,1,1,Miss,1,4,33.908325
327,0,3,male,61.0,Senior,6.2375,S,1,1,Mr,0,1,6.2375
328,1,2,female,36.0,Adult,13.0,S,1,1,Mrs,1,1,13.0
329,1,3,female,31.0,Young Adult,20.525,S,3,0,Mrs,0,3,6.841666666666666
330,1,1,female,16.0,Teen,57.9792,C,2,0,Miss,1,2,28.9896
331,1,3,female,18.0,Young Adult,23.25,Q,3,0,Miss,0,3,7.75
332,0,1,male,45.5,Adult,28.5,S,1,1,Mr,1,1,28.5
333,0,1,male,38.0,Adult,153.4625,S,2,0,Mr,1,3,51.15416666666667
334,0,3,male,16.0,Teen,18.0,S,3,0,Mr,0,2,9.0
335,1,1,female,22.0,Young Adult,133.65,S,2,0,Mrs,0,2,66.825
336,0,3,male,35.0,Adult,7.8958,S,1,1,Mr,0,1,7.8958
337,0,1,male,29.0,Young Adult,66.6,S,2,0,Mr,1,2,33.3
338,1,1,female,41.0,Adult,134.5,C,1,1,Miss,1,5,26.9
339,1,3,male,45.0,Adult,8.05,S,1,1,Mr,0,1,8.05
340,0,1,male,45.0,Adult,35.5,S,1,1,Mr,1,1,35.5
341,1,2,male,2.0,Child,26.0,S,3,0,Master,1,3,8.666666666666666
342,1,1,female,24.0,Young Adult,263.0,S,6,0,Miss,1,6,43.833333333333336
